,time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
129,00:08.0,0.529052734,0.082519531,0.885742188,24.59716797,-180.6030273,24.29199219
130,00:08.0,0.565917969,0.089599609,0.870117188,22.09472656,-172.2412109,27.58789063
131,00:08.0,0.598388672,0.103271484,0.837890625,20.32470703,-161.9873047,28.68652344
132,00:08.0,0.617675781,0.115966797,0.820556641,19.34814453,-153.0761719,27.83203125
133,00:08.0,0.622802734,0.126220703,0.794433594,18.85986328,-147.2167969,25.45166016
134,00:08.0,0.634033203,0.133789063,0.755615234,18.73779297,-146.484375,20.44677734
135,00:08.0,0.647949219,0.148193359,0.728027344,18.24951172,-153.8696289,12.51220703
136,00:08.0,0.650878906,0.176269531,0.710693359,16.96777344,-170.1049805,3.662109375
137,00:08.0,0.642578125,0.202636719,0.684814453,14.95361328,-192.9321289,-3.967285156
138,00:08.0,0.642578125,0.214111328,0.647460938,12.14599609,-219.6655273,-9.826660156
139,00:08.1,0.660644531,0.208007813,0.605224609,9.033203125,-245.8496094,-13.36669922
140,00:08.1,0.704101563,0.190429688,0.55078125,5.554199219,-265.3198242,-14.83154297
141,00:08.1,0.769042969,0.166748047,0.482421875,2.9296875,-271.8505859,-14.03808594
142,00:08.1,0.809326172,0.142578125,0.383789063,1.953125,-265.1977539,-13.48876953
143,00:08.1,0.810546875,0.134765625,0.261962891,3.41796875,-251.5869141,-16.23535156
144,00:08.1,0.791992188,0.148925781,0.143798828,5.615234375,-239.8071289,-22.03369141
145,00:08.1,0.779296875,0.174560547,0.058837891,6.591796875,-235.4736328,-29.60205078
146,00:08.1,0.779296875,0.201660156,0.012939453,5.676269531,-239.3798828,-37.29248047
147,00:08.1,0.800537109,0.224121094,-0.019775391,2.44140625,-249.206543,-42.60253906
148,00:08.1,0.864257813,0.232421875,-0.051513672,-3.784179688,-259.7045898,-43.09082031
149,00:08.1,0.938720703,0.209716797,-0.057373047,-11.65771484,-262.3291016,-37.29248047
150,00:08.1,1.007324219,0.148193359,-0.059570313,-18.73779297,-252.5634766,-27.52685547
151,00:08.9,1.09765625,0.063720703,-0.058105469,-20.44677734,-232.9101563,-16.78466797
152,00:08.9,1.168701172,0.000488281,-0.056884766,-14.46533203,-206.9702148,-9.948730469
153,00:08.9,1.166503906,-0.027832031,-0.087646484,-6.713867188,-176.1474609,-5.004882813
154,00:08.9,1.097412109,-0.027587891,-0.11328125,-1.770019531,-144.0429688,2.44140625
155,00:08.9,1.021240234,-0.024902344,-0.10546875,0.061035156,-115.1123047,11.47460938
156,00:08.9,0.962402344,-0.020019531,-0.140625,0.183105469,-90.63720703,18.06640625
157,00:08.9,0.931884766,0.010498047,-0.234863281,-1.770019531,-72.69287109,17.21191406
158,00:08.9,0.941894531,0.067138672,-0.299316406,-9.460449219,-63.17138672,12.08496094
159,00:08.9,0.968505859,0.096679688,-0.259521484,-22.15576172,-55.96923828,11.04736328
160,00:08.9,1.009521484,0.069335938,-0.173095703,-33.26416016,-43.09082031,17.94433594
161,00:08.9,1.062988281,0.010986328,-0.104980469,-35.40039063,-24.78027344,27.46582031
162,00:08.9,1.104980469,-0.025390625,-0.056640625,-26.97753906,-4.577636719,30.70068359
163,00:08.9,1.119140625,-0.028076172,-0.017333984,-14.89257813,14.83154297,24.35302734
164,00:08.9,1.091552734,-0.009765625,0.014892578,-5.126953125,31.49414063,14.40429688
165,00:08.9,1.031738281,0.013916016,0.040039063,0.122070313,43.33496094,6.652832031
166,00:08.9,0.980224609,0.024414063,0.049804688,1.159667969,48.46191406,2.9296875
167,00:09.0,0.937988281,0.021484375,0.028808594,0.183105469,47.24121094,2.136230469
168,00:09.0,0.943115234,0.028808594,-0.020019531,-1.342773438,45.34912109,2.9296875
169,00:09.0,1.014892578,0.04296875,-0.058105469,-5.554199219,46.50878906,3.41796875
170,00:09.0,1.045410156,0.049804688,-0.077636719,-11.90185547,50.04882813,5.37109375
171,00:09.0,1.041992188,0.041503906,-0.076416016,-17.39501953,58.95996094,9.460449219
172,00:09.0,1.026123047,0.027587891,-0.050292969,-19.22607422,68.96972656,12.57324219
173,00:09.0,0.979248047,0.026855469,-0.026123047,-17.15087891,75.13427734,14.09912109
174,00:09.0,0.946044922,0.042724609,-0.012939453,-13.00048828,77.51464844,14.6484375
175,00:09.0,0.924560547,0.064697266,0.006591797,-8.911132813,75.92773438,13.18359375
176,00:09.0,0.890380859,0.083740234,0.037109375,-5.981445313,69.64111328,10.62011719
177,00:09.0,0.848388672,0.083007813,0.084716797,-4.699707031,59.63134766,8.239746094
178,00:09.0,0.824462891,0.073974609,0.123291016,-3.845214844,48.03466797,6.530761719
